,Name,Acronym,Founded,Screenshot,Address,Tel,Fax,Other locations,Gender,International Students,Selection Type,Admission Rate,Admission Office,Student Enrollment,Academic Staff,Control Type,Entity Type,Academic Calendar,Campus Setting,Religious Affiliation,Library,Housing,Sport Facilities,Financial Aids,Study Abroad,Distance Learning,Academic Counseling,Career Services,Institutional Hospital,country rank,world rank,Facebook,Twitter,Linkedin,Youtube,Instagram,undergratuate_local,under_local,post_local,postgraduate_international,under_inter,post_inter,Colours,Motto
152,Graduate School of Agricultural Studies of Angers,ESA Angers,1898 ,"

 ","55, Rue Rabelais Angers  49007 Pays de la Loire France", +33 (0)2 41 23 55 55, +33 (0)2 41 23 55 00,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,"55, Rue Rabelais Angers 49007 (0)2 41 23 55 55 ", Not reported, Not reported,"
 Private",Not reported,"
 Continuous",Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,153,4301,https://www.facebook.com/GroupeESA.Angers.officiel,https://twitter.com/Groupe_ESA,https://www.linkedin.com/school/groupe-esa/,https://www.youtube.com/channel/UCdbLRus6faduz-2qq0yWycQ,,Local students,Not reported,Not reported,International students,Not reported,Not reported,,
153,National Institute of Advanced Technology,ENSTA,1971 ,"

 ","2, Rue François Verny Brest  29806 Bretagne France", +33 (0)2 98 34 88 00, +33 (0)2 98 34 88 46,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,"2, Rue François Verny Brest 29200 (0)2 98 34 88 00 ",  500-999,"
 100-199","
 Public",  Non-Profit,"
 Continuous","
 Urban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,154,4390,https://www.facebook.com/ENSTA.Bretagne,https://twitter.com/ENSTABretagne,https://www.linkedin.com/school/ensta-bretagne/,https://www.youtube.com/channel/UCP4g5iu4laumlqskbyXoOJg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",Blue and green,"Aim High, Sail Far "
154,National School of Public Civil Engineering,ENTPE,1891 ,"

 ",Rue Maurice Audin Vaulx-en-Velin  69518 Auvergne-Rhone-Alpes France, +33 (0)4 72 04 70 70, +33 (0)4 72 04 62 54,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,  500-999, Not reported,"
 Public",  Non-Profit, Not reported,Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,155,4403,https://www.facebook.com/EntpeLyon,https://twitter.com/entpe,https://www.linkedin.com/school/entpe/,https://www.youtube.com/channel/UCccaHqE5RyMPmSgJZRjVAKg,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,L'Ecole des choix School of Choices
155,The Institute of Optics Graduate School,SupOptique,1920 ,"

 ",2 avenue Augustin Fresnel Palaiseau  91127 Ile-de-France France, +33 (0)1 64 53 31 00, +33 (0)1 64 53 31 01,"Saint-Etienne, Bordeaux", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 20-30%,2 avenue Augustin Fresnel Palaiseau 91127  ,  250-499,"
 50-99","
 Private",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ", Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,156,4423,https://www.facebook.com/institutoptique,https://twitter.com/institutoptique,https://www.linkedin.com/school/institutoptique/,https://www.youtube.com/channel/UCAuDnB-WMRnPqjesoXpFjmQ,,Local students,"1,000-2,500 US$ (750-1,800 Euro)","1,000-2,500 US$ (750-1,800 Euro)",International students,"5,000-7,500 US$ (3,700-5,500 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)",,
156,EPF College of Engineering,EPF,1925 ,"

 ","3 bis, Rue Lakanal Sceaux  92330 Ile-de-France France", +33 (0)1 41 13 01 51, +33 (0)1 46 60 39 94,"Montpellier, Rosières-prés-Troyes", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 10-20%,"3 bis, Rue Lakanal Sceaux 92330 (0)1 41 13 01 91 ","  1,000-1,999","
 100-199","
 Private",  Non-Profit,"
 Semesters","
 Urban",None,"
 Yes   ", Not reported ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,157,4449,https://www.facebook.com/EPF.ingenieurs,https://twitter.com/epf_ingenieurs,https://www.linkedin.com/school/epf-ecole-d'ing%C3%A9nieur-e-s/,https://www.youtube.com/channel/UCRShc0kAEFSwayNWqtvasxA,,Local students,"5,000-7,500 US$ (3,700-5,500 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)",International students,"5,000-7,500 US$ (3,700-5,500 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)",,
157,Champollion National University Institute,INU Champollion,2002 ,"

 ","Place de Verdun, Cedex 9 Albi  81012 Occitanie France", +33 (0)5 63 48 17 17, +33 (0)5 63 48 17 19,Rodez, Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   , Not reported, Not reported,"
 Public",  Non-Profit, Not reported,Not reported,None,"
 Yes   ", Not reported , Not reported, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,158,4474,https://www.facebook.com/universite.champollion,https://twitter.com/UnivChampollion,https://www.linkedin.com/school/institut-national-universitaire-champollion/,https://www.youtube.com/channel/UCZgJ7HvL1D75j7SYNpKv_Ew,,Local students,"0-1,000 US$ (0-750 Euro)",Not reported,International students,"0-1,000 US$ (0-750 Euro)",Not reported,,
158,"Nantes-Atlantic National College of Veterinary Medicine, Food Science and Engineering",ONIRIS,1974 ,"

 ",101 Route de Gachet Nantes  44307 Pays de la Loire France, +33 (0)2 40 68 77 77, +33 (0)2 40 68 77 78,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   , Not reported, Not reported,"
 Public",  Non-Profit,"
 Continuous",Not reported,None,"
 Yes   ", Not reported ,  Yes, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,159,4534,https://www.facebook.com/onirisnantes,https://twitter.com/oniris_officiel,NaN,https://www.youtube.com/channel/UC6s1TcnoTYsvyR9MwIGQmbQ,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",,
159,Polytechnic Institute of Advanced Science,IPSA,1961 ,"

 ",7-9 Rue Maurice Grandcoing Ivry-sur-Seine  94200 Ile-de-France France, +33 (0)1 56 20 62 60, +33 (0)1 46 70 25 85,Toulouse, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", Not available,"7/9, Rue Maurice Grandcoing Ivry sur Seine 94200 (0)1 56 20 62 78 ",  500-999,"
 50-99","
 Private",  Non-Profit,"
 Continuous","
 Urban",None, Not reported  , Not reported ,  Yes, Not reported,"
 Yes", Not reported,Not reported,Not reported,Not reported,160,4560,https://www.facebook.com/ecole.ipsa,https://twitter.com/ipsa,https://www.linkedin.com/school/ipsa-%C3%A9cole-d'ing%C3%A9nieurs-de-l'air-et-de-l'espace/,https://www.youtube.com/channel/UCIMbtrSpS36jbI8_skz29Cg,,Local students,"10,000-12,500 US$ (7,400-9,200 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)",International students,"10,000-12,500 US$ (7,400-9,200 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)",,"L'air, l'espace, l'IPSA The air, the space, the IPSA"
160,Graduate School of Aeronautical and Automotive Engineering,ESTACA,1925 ,"

 ","12 Avenue Paul-Delouvrier, CS 20749 Montigny-le-Bretonneux  78066 Ile-de-France France", +33 (0)1 75 64 50 41, +33 ,Laval, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", Not reported,   ,  250-499,"
 100-199","
 Private",  Non-Profit, Not reported,"
 Urban",None,"
 Yes   ", Not reported ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,161,4568,https://www.facebook.com/EcoleESTACA,https://twitter.com/Estaca_twit,https://www.linkedin.com/school/estaca-ecole-ingenieurs/,https://www.youtube.com/channel/UCM0S5BFnf1Gyb8n69ivUUeA,,Local students,Not reported,"5,000-7,500 US$ (3,700-5,500 Euro)",International students,Not reported,"5,000-7,500 US$ (3,700-5,500 Euro)",,
161,ISG Business School,ISG,1967 ,"

 ",8 rue de Lota Paris  75116 Ile-de-France France, +33 (0)1 56 26 26 26, +33 ,"Bordeaux, Genève, Lille, Lyon, Nantes, Nice, Strasbourg, Toulouse, Shanghai, New York, Genève", Men and Women (coed)," Yes, international applicants are welcome to apply for admission",Not reported, Not reported,   ,"  1,000-1,999","
 under-50","
 Private",  Non-Profit, Not reported,"
 Urban",None,"
 Yes   ", Not reported , Not reported,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,162,4750,https://www.facebook.com/ecole.isg,https://twitter.com/isg,https://www.linkedin.com/school/institut-sup%C3%A9rieur-de-gestion/,https://www.youtube.com/channel/UCRSepsxv5zI9fOp9SW0Gqpg,,Local students,Not reported,"15,000-17,500 US$ (11,000-12,900 Euro)",International students,Not reported,"15,000-17,500 US$ (11,000-12,900 Euro)",,
162,Higher Institute of Electronics and Digital Studies,ISEN,1956 ,"

 ","41, Boulevard Vauban Lille  59046 Hauts-de-France France", +33 (0)3 20 30 40 50, +33 (0)3 20 30 40 51,"Brest, Nantes, Rennes, Toulon, Aix, Marseille, Nîmes, Fès", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", Not reported,   ,"  1,000-1,999","
 200-299","
 Private",Not reported,"
 Continuous","
 urban",None,"
 Yes   ", Not reported ,  Yes, Not reported, Not reported, Not reported,Not reported,Not reported,Not reported,163,4787,https://www.facebook.com/Groupe.ISEN,https://twitter.com/groupeisen,https://www.linkedin.com/school/isen-ecole-d-ingenieurs/,https://www.youtube.com/channel/UCrTclv4lX7EOAMz5SKyiD8g,,Local students,Not reported,Not reported,International students,Not reported,Not reported,,
163,ICAM Catholic Institute of Engineering,ICAM,1898 ,"

 ","6, Rue Auber; Boîte Postale 10079 Lille  59800 Hauts-de-France France", +33 (0)3 20 22 61 61, +33 (0)3 20 93 14 89,"Nantes, Toulouse, Paris-Sénart, Bretagne, Vendée, Chennai, Douala, Pointe-Noire, Kinshasa, Recife", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 40-50%,"ICAM, 6, Rue Auber Lille 59 046 (0)3 20 22 61 61 ","  2,000-2,999","
 300-399","
 Private",  Non-Profit,"
 Semesters","
 Urban","


 
Christian-Catholic ","
 Yes   ", Not reported ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,164,4804,https://www.facebook.com/Icam.fr,https://twitter.com/icam_fr,https://www.linkedin.com/school/icam-institut-catholique-d'arts-et-metiers/,https://www.youtube.com/channel/UCQbkQwnly-uMpHTdudW8ocw,,Local students,"5,000-7,500 US$ (3,700-5,500 Euro)",Not reported,International students,"5,000-7,500 US$ (3,700-5,500 Euro)",Not reported,,L'art et la manière de faire monde The Skill and Style to Make the World
164,ECAM Lyon,ECAM Lyon,1900 ,"

 ","40, Montée Saint-Barthélemy Lyon  69321 Auvergne-Rhone-Alpes France", +33 (0)4 72 77 06 00, +33 (0)4 72 77 06 11,"Bourg-en-Bresse, Rueil-Malmaison, Phnom Penh", Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations and students' past academic record and grades", 10-20%,40 Montée Saint-Barthélemy Lyon 69321 (0)4 72 77 07 82 ,"  1,000-1,999","
 100-199","
 Private",  Non-Profit,"
 Semesters","
 Urban","


 
Christian-Catholic ","
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes",  Yes, Yes, Yes,Not reported,165,4815,https://www.facebook.com/ECAMLaSalle,https://twitter.com/ECAMLaSalle,https://www.linkedin.com/school/ecamlasalle/,https://www.youtube.com/channel/UCt3oLU1l30aM_H5kHb1ADHQ,,Local students,"5,000-7,500 US$ (3,700-5,500 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)",International students,"7,500-10,000 US$ (5,500-7,400 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)",,"Plus qu'une Ecole, un esprit More than a school, a spirit"
165,"National School of Engineering, Tarbes",ENIT,1963 ,"

 ","47, Avenue d'Azereix; Boîte Postale 1629 Tarbes  65016 Occitanie France", +33 (0)5 62 44 27 00, +33 (0)5 62 44 27 27,, Men and Women (coed)," Yes, international applicants are welcome to apply for admission"," Yes, based on entrance examinations", 20-30%,"47, Avenue d'Azereix Tarbes 65016 (0)5 62 44 27 04 ","  1,000-1,999","
 100-199","
 Public",  Non-Profit,"
 Semesters","
 Suburban",None,"
 Yes   ",  Yes ,  Yes,  Yes,"
 Yes", Not reported,Not reported,Not reported,Not reported,166,4849,https://www.facebook.com/EniDeTarbes,https://twitter.com/ENITarbes,https://www.linkedin.com/school/eni-tarbes/,https://www.youtube.com/channel/UCH3v-VpfSH-jmDX9W143uEQ,,Local students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",International students,"0-1,000 US$ (0-750 Euro)","0-1,000 US$ (0-750 Euro)",Red and white,Ensemble concevons l'avenir Engineering the future together
